City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Banda Aceh,ID,5.5577,95.3222,81.01,76,80,2.08,broken clouds
300,Yining,CN,29.0361,114.5636,53.98,90,0,3.29,clear sky
301,Nata,PA,8.3333,-80.5167,87.67,46,58,18.03,broken clouds
302,Divnomorskoye,RU,44.5011,38.1353,40.1,65,2,13.27,clear sky
303,Amga,RU,60.8953,131.9608,0.36,99,100,1.72,overcast clouds
304,Hengyang,CN,26.8881,112.615,59.29,81,5,3.36,clear sky
305,Constantine,DZ,36.365,6.6147,67.41,45,40,3.44,scattered clouds
306,Dickinson,US,29.4608,-95.0513,79.05,61,75,17.27,broken clouds
307,Phra Phutthabat,TH,14.7253,100.7954,83.82,83,95,2.71,light rain
308,Hun,LY,29.1268,15.9477,87.04,6,92,12.5,overcast clouds
309,Mezhdurechensk,RU,53.6942,88.0603,32.34,97,100,4.14,overcast clouds
310,Taitung,TW,22.7583,121.1444,69.31,85,90,14.16,overcast clouds
311,Kaitangata,NZ,-46.2817,169.8464,54.7,96,100,1.19,overcast clouds
312,Bocaiuva,BR,-17.1078,-43.815,88.68,36,36,7.85,scattered clouds
313,Coos Bay,US,43.3665,-124.2179,56.32,96,100,3.44,overcast clouds
314,Winchester,GB,51.0651,-1.3187,62.65,59,20,6.91,few clouds
315,Le Pradet,FR,43.1066,6.0172,70.61,43,0,4.61,clear sky
316,Harsin,IR,34.2721,47.5861,50.81,37,0,6.42,clear sky
317,Tsiroanomandidy,MG,-18.7667,46.0333,71.58,91,100,1.25,overcast clouds
318,Kang,BW,-23.6752,22.7876,80.91,32,2,7.07,clear sky
319,Diban,SY,35.0365,40.5167,62.06,30,0,8.68,clear sky
320,Basco,PH,20.4487,121.9702,77.83,83,91,23.91,overcast clouds
321,Sungairaya,ID,0.7,108.9,79.25,84,93,5.61,overcast clouds
322,San Cristobal,VE,7.7669,-72.225,75.38,47,100,7.92,overcast clouds
323,Great Yarmouth,GB,52.6083,1.7305,58.08,87,84,7.96,broken clouds
324,Raudeberg,NO,61.9875,5.1352,39.87,72,68,22.08,broken clouds
325,Tari,NG,12.4086,4.4914,100.78,4,71,15.14,broken clouds
326,Caravelas,BR,-17.7125,-39.2481,86.76,53,100,8.55,overcast clouds
327,Kuala Terengganu,MY,5.3302,103.1408,85.95,74,0,5.75,clear sky
328,Sao Filipe,CV,14.8961,-24.4956,70.38,80,98,9.89,overcast clouds
329,Namibe,AO,-15.1961,12.1522,76.98,61,91,17.78,overcast clouds
330,Morro Bay,US,35.3658,-120.8499,58.33,90,97,1.99,overcast clouds
331,Dwarka,IN,22.2394,68.9678,81.03,67,7,12.21,clear sky
332,Staryy Nadym,RU,65.6118,72.6842,20.03,92,100,18.77,overcast clouds
333,Kolokani,ML,13.5728,-8.0339,104.95,7,79,12.77,broken clouds
334,Cibitung,ID,-7.119,107.1309,67.08,92,85,1.63,overcast clouds
335,Peleduy,RU,59.6289,112.7406,20.34,91,100,7.85,overcast clouds
336,Troitsko-Pechorsk,RU,62.7084,56.1964,9.03,97,100,3.98,overcast clouds
337,Tiznit,MA,29.5833,-9.5,69.58,48,1,9.19,clear sky
338,Taltal,CL,-25.4,-70.4833,68.4,71,26,5.73,scattered clouds
339,Lannion,FR,48.75,-3.4167,64.94,55,100,8.05,overcast clouds
340,Littlehampton,GB,50.8069,-0.5378,61.36,70,100,4.61,overcast clouds
341,Paita,PE,-5.0892,-81.1144,75.34,74,99,5.88,overcast clouds
342,Chazuta,PE,-6.5742,-76.1367,81.45,96,99,1.12,heavy intensity rain
